REC,nClicks,Duration,ICI1,ICI2,ICI3,ICI4,ICI5,ICI6,ICI7,ICI8,ICI9,ICI10,ICI11,ICI12,ICI13,ICI14,ICI15,ICI16,ICI17,ICI18,ICI19,ICI20,ICI21,ICI22,ICI23,ICI24,ICI25,ICI26,ICI27,ICI28,Whale,TsTo,Whale,File,Time,Tempo,Rhythm,Clicks,Extra Click,ConstructedString
sw061b001_124,17,0.9277916,0.03395,0.0361166,0.0488667,0.0489083,0.042275,0.0404834,0.040975,0.0396083,0.0421334,0.0416916,0.0445917,0.0517916,0.0650334,0.0868333,0.1188917,0.1456416,0,0,0,0,0,0,0,0,0,0,0,0,1,126.0372,1,sw061b,126.0372,2,17,17,0,r3
sw061b001_124,20,1.0929917,0.0328166,0.0393584,0.045325,0.0499333,0.0440834,0.0447833,0.0436833,0.04065,0.0421917,0.0428083,0.0418834,0.0419416,0.0459334,0.052375,0.0604833,0.0737667,0.0894916,0.1095167,0.1519667,0,0,0,0,0,0,0,0,0,1,128.3256,1,sw061b,128.3256,4,17,20,0,r5
sw061b001_124,5,0.89825,0.27585,0.2867833,0.1974,0.1382167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,131.7476,1,sw061b,131.7476,2,2,5,0,c3
sw061b001_124,5,0.865575,0.262275,0.2768833,0.1833333,0.1430834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,135.5877,1,sw061b,135.5877,2,2,5,0,c3
sw061b001_124,5,0.8583166,0.266675,0.2693583,0.178325,0.1439583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,139.5217,1,sw061b,139.5217,2,2,5,0,c3
sw061b001_124,5,0.8619416,0.2686583,0.2851417,0.1784083,0.1297333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,142.7881,1,sw061b,142.7881,2,2,5,0,c3
sw061b001_124,5,0.838825,0.2522667,0.2530833,0.1827334,0.1507416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,145.8571,1,sw061b,145.8571,2,2,5,0,c3
sw061b001_124,5,0.8447333,0.2584333,0.2746417,0.174025,0.1376333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,149.3956,1,sw061b,149.3956,2,2,5,0,c3
sw061b001_124,4,0.8711697,0.2998227,0.2965137,0.2748333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,149.4538,2,sw061b,149.4538,2,0,4,0,a3
sw061b001_124,5,0.967213,0.3213012,0.3016214,0.3031725,0.0411179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,152.8085,2,sw061b,152.8085,3,2,5,1,C4
